INFO 2025-12-09 22:20:03,925 basehttp "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2025-12-09 22:20:03,934 basehttp "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2025-12-09 22:20:04,113 basehttp "GET /static/admin/css/unusable_password_field.css HTTP/1.1" 200 663
INFO 2025-12-09 22:20:04,190 basehttp "GET /static/admin/js/unusable_password_field.js HTTP/1.1" 200 1480
INFO 2025-12-09 22:20:46,032 basehttp "POST /admin/auth/user/add/ HTTP/1.1" 200 19018
INFO 2025-12-09 22:20:46,215 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 9110
INFO 2025-12-09 22:21:08,212 basehttp "POST /admin/auth/user/add/ HTTP/1.1" 302 0
INFO 2025-12-09 22:21:08,423 basehttp "GET /admin/auth/user/2/change/ HTTP/1.1" 200 33560
INFO 2025-12-09 22:21:08,506 basehttp "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
INFO 2025-12-09 22:21:08,508 basehttp "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2025-12-09 22:21:08,508 basehttp "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
INFO 2025-12-09 22:21:08,510 basehttp "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15502
INFO 2025-12-09 22:21:08,527 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 9110
INFO 2025-12-09 22:21:08,770 basehttp "GET /static/admin/img/icon-clock.svg HTTP/1.1" 304 0
INFO 2025-12-09 22:21:08,770 basehttp "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
INFO 2025-12-09 22:21:08,771 basehttp "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2025-12-09 22:21:08,771 basehttp "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
INFO 2025-12-09 22:21:08,772 basehttp "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 200 655
INFO 2025-12-09 22:22:07,409 basehttp "POST /admin/auth/user/2/change/ HTTP/1.1" 302 0
INFO 2025-12-09 22:22:07,462 basehttp "GET /admin/auth/user/ HTTP/1.1" 200 18702
INFO 2025-12-09 22:22:07,534 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 9110
INFO 2025-12-09 22:48:51,200 autoreload Watching for file changes with StatReloader
WARNING 2025-12-09 22:48:54,178 log Not Found: /
WARNING 2025-12-09 22:48:54,179 basehttp "GET / HTTP/1.1" 404 4682
WARNING 2025-12-09 22:48:59,990 log Not Found: /favicon.ico
WARNING 2025-12-09 22:48:59,992 basehttp "GET /favicon.ico HTTP/1.1" 404 4733
INFO 2025-12-09 22:49:02,390 basehttp "GET /health/ HTTP/1.1" 200 344
WARNING 2025-12-09 22:49:03,478 log Not Found: /favicon.ico
WARNING 2025-12-09 22:49:03,479 basehttp "GET /favicon.ico HTTP/1.1" 404 4733
WARNING 2025-12-10 06:43:23,513 log Not Found: /
WARNING 2025-12-10 06:43:23,521 basehttp "GET / HTTP/1.1" 404 4682
INFO 2025-12-10 06:43:35,911 basehttp "GET /admin/ HTTP/1.1" 200 15770
INFO 2025-12-10 06:43:35,959 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-12-10 06:43:35,959 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-12-10 06:43:35,959 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-12-10 06:43:35,962 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-12-10 06:43:35,962 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-12-10 06:43:35,963 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-12-10 06:43:35,981 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-12-10 06:43:35,994 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2025-12-10 06:43:35,995 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-12-10 06:43:40,539 basehttp "GET /admin/auth/user/ HTTP/1.1" 200 18506
INFO 2025-12-10 06:43:40,575 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-12-10 06:43:40,575 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2025-12-10 06:43:40,575 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-12-10 06:43:40,576 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-12-10 06:43:40,579 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-12-10 06:43:40,579 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-12-10 06:43:40,580 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2025-12-10 06:43:40,580 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-12-10 06:43:40,581 basehttp "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-12-10 06:43:40,588 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2025-12-10 06:43:40,588 basehttp "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
